Ticket #,Customer Complaint,Date,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone
250635,Comcast Cable Internet Speeds,22-04-2015,15:53:50,Customer Care Call,Abingdon,Maryland,21009,Closed,No
223441,Payment disappear - service got disconnected,04-08-2015,10:22:56,Internet,Acworth,Georgia,30102,Closed,No
242732,Speed and Service,18-04-2015,09:55:47,Internet,Acworth,Georgia,30101,Closed,Yes
277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,05-07-2015,11:59:35,Internet,Acworth,Georgia,30101,Open,Yes
307175,Comcast not working and no service to boot,26-05-2015,13:25:26,Internet,Acworth,Georgia,30101,Solved,No
338519,ISP Charging for arbitrary data limits with overage fees,06-12-2015,21:59:40,Internet,Acworth,Georgia,30101,Solved,No
361148,Throttling service and unreasonable data caps,24-06-2015,10:13:55,Customer Care Call,Acworth,Georgia,30101,Pending,No
359792,Comcast refuses to help troubleshoot and correct my service.,23-06-2015,18:56:14,Internet,Adrian,Michigan,49221,Solved,No
318072,Comcast extended outages,06-01-2015,23:46:30,Customer Care Call,Alameda,California,94502,Closed,No
371214,Comcast Raising Prices and Not Being Available To Ask Why,28-06-2015,18:46:31,Customer Care Call,Alameda,California,94501,Open,Yes
255938,Billing after service was asked to be disconnected,24-04-2015,16:40:36,Internet,Albuquerque,New Mexico,87106,Closed,No
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,05-06-2015,15:09:49,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No
339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,13-06-2015,16:03:18,Internet,Albuquerque,New Mexico,87105,Open,Yes
360178,Internet speed,23-06-2015,21:23:23,Internet,Albuquerque,New Mexico,87113,Solved,No
376268,Internet Disconnects Every Night,30-06-2015,22:30:02,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No
370137,Internet complaint,27-06-2015,15:25:03,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No
363695,Internet Availability and Speed,24-06-2015,23:47:33,Customer Care Call,Alexandria,Indiana,46001,Solved,No
238694,Comcast owes me $65 and claims I need to return equipment I never had,16-04-2015,10:04:57,Internet,Alexandria,Virginia,22304,Closed,No
230876,Horrible Internet Service,04-11-2015,19:48:05,Customer Care Call,Alexandria,Virginia,22305,Closed,No
318725,Failure to provide services that I am billed for.,06-02-2015,13:03:52,Customer Care Call,Alexandria,Virginia,22314,Closed,No
327657,Internet out all the time but they have a monopoly,06-07-2015,20:55:43,Customer Care Call,Alexandria,Virginia,22305,Solved,No
328742,horrible cable service and customer service,06-08-2015,15:18:58,Internet,Alexandria,Virginia,22312,Solved,No
328165,Speed,06-08-2015,12:03:37,Customer Care Call,Alexandria,Virginia,22304,Solved,No
370538,Comcast monopoly bundling practices,27-06-2015,21:04:34,Internet,Alexandria,Virginia,22304,Open,No
370363,COMCAST!,27-06-2015,18:37:29,Internet,Alexandria,Virginia,22305,Solved,No
270163,bait and switch,05-02-2015,15:55:24,Internet,Algonquin,Illinois,60102,Open,Yes
355976,Comcast Customer Service,22-06-2015,14:10:39,Internet,Aliquippa,Pennsylvania,15001,Open,No
